benchmark;jvm;options;iteration;duration;CPU;DRAM;exitcode
lusearch-fix;OPEN;G1;2;3472977.2169999997;235170000.0;54750000.0;0
lusearch-fix;OPEN;5Parallel;2;3083756.898;195770000.0;44940000.0;0
lusearch-fix;OPEN;5Concurent;2;3649838.4269999997;237960000.0;55040000.0;0
lusearch-fix;OPEN;1Parallel;2;3548668.8439999996;238070000.0;56040000.0;0
lusearch-fix;OPEN;1Concurent;2;3415591.223;229220000.0;54020000.0;0
lusearch-fix;OPEN;DisableExplicitGC;2;3553557.127;235580000.0;55110000.0;0
lusearch-fix;OPEN;ParallelCG;2;3649109.338;249120000.0;57120000.0;0
lusearch-fix;OPEN;ParallelOldGC;2;3665627.0130000003;232600000.0;53840000.0;0
lusearch-fix;OPEN;SerialGC;2;3690845.697;252820000.0;57820000.0;0
lusearch-fix;OPEN;Epsilon;2;3563787.7939999998;231690000.0;57030000.0;0
pmd;Graal;default;2;4500077.399;272070000.0;64650000.00000001;0
pmd;Graal;G1;2;4703193.7360000005;288930000.0;67330000.0;0
pmd;Graal;5Parallel;2;4616997.563;276220000.0;64920000.0;0
pmd;Graal;5Concurent;2;4648701.563;279520000.0;65950000.0;0
pmd;Graal;1Parallel;2;4862221.217;295540000.0;69670000.0;0
pmd;Graal;1Concurent;2;4655248.86;281100000.0;67050000.0;0
pmd;Graal;DisableExplicitGC;2;4698437.3889999995;278780000.0;65569999.99999999;0
pmd;Graal;ParallelCG;2;4940461.199999998;291920000.0;69600000.0;0
pmd;Graal;ParallelOldGC;2;4816730.012;283000000.0;66220000.0;0
pmd;J9;default;2;4150088.972;229660000.0;51130000.0;0
pmd;J9;ConcurrentScavenge;2;4257976.5150000015;237430000.0;52410000.0;0
pmd;J9;ScvNoAdaptiveTenure;2;4335647.927;233910000.0;53170000.0;0
pmd;J9;Balanced;2;4291961.733;239210000.0;53700000.0;0
pmd;J9;Gencon;2;4102461.7670000005;220720000.0;50100000.0;0
pmd;J9;Metronome;2;4570725.847;255000000.0;59280000.0;0
pmd;J9;Nogc;2;4250893.428;231800000.0;52940000.0;0
pmd;J9;Optavgpause;2;4648247.511;246270000.0;59130000.0;0
