options;jvm;benchmark;pvalues;utests;effectsize
Epsilon;OPEN;als;0.012185780355344813;25.0;0.0
1Parallel;OPEN;als;0.012185780355344813;0.0;1.0
5Parallel;OPEN;dotty;0.06010280593886631;22.0;0.12
DisableExplicitGC;OPEN;dotty;0.8345316227109287;14.0;0.44
ParallelCG;OPEN;dotty;0.012185780355344813;25.0;0.0
ParallelOldGC;OPEN;dotty;1.0;12.0;0.52
1Concurent;OPEN;dotty;0.6761033140231469;10.0;0.6
SerialGC;OPEN;dotty;0.012185780355344813;25.0;0.0
5Concurent;OPEN;dotty;0.2962698714842864;18.0;0.28
G1;OPEN;dotty;0.8345316227109287;11.0;0.56
Epsilon;OPEN;dotty;0.012185780355344813;25.0;0.0
1Parallel;OPEN;dotty;0.0367138563627041;2.0;0.92
5Parallel;OPEN;fj-kmeans;0.6761033140231469;10.0;0.6
DisableExplicitGC;OPEN;fj-kmeans;0.09469294259947589;21.0;0.16
ParallelCG;OPEN;fj-kmeans;0.4033953048926283;17.0;0.32
ParallelOldGC;OPEN;fj-kmeans;0.4033953048926283;8.0;0.68
1Concurent;OPEN;fj-kmeans;0.7532980334628382;14.5;0.42
SerialGC;OPEN;fj-kmeans;0.2100750407866585;19.0;0.24
5Concurent;OPEN;fj-kmeans;0.8345316227109287;11.0;0.56
G1;OPEN;fj-kmeans;1.0;13.0;0.48
Epsilon;OPEN;fj-kmeans;0.012185780355344813;0.0;1.0
1Parallel;OPEN;fj-kmeans;0.2962698714842864;18.0;0.28
5Parallel;OPEN;neo4j;0.8345316227109287;14.0;0.44
DisableExplicitGC;OPEN;neo4j;0.0367138563627041;23.0;0.08
ParallelCG;OPEN;neo4j;0.06010280593886631;3.0;0.88
ParallelOldGC;OPEN;neo4j;0.4033953048926283;17.0;0.32
1Concurent;OPEN;neo4j;0.5308693039685082;16.0;0.36
SerialGC;OPEN;neo4j;0.012185780355344813;25.0;0.0
5Concurent;OPEN;neo4j;0.8345316227109287;14.0;0.44
G1;OPEN;neo4j;1.0;12.0;0.52
Epsilon;OPEN;neo4j;0.012185780355344813;25.0;0.0
1Parallel;OPEN;neo4j;0.6761033140231469;10.0;0.6
5Parallel;OPEN;philosopher;0.6761033140231469;15.0;0.4
DisableExplicitGC;OPEN;philosopher;1.0;12.0;0.52
ParallelCG;OPEN;philosopher;0.8345316227109287;14.0;0.44
ParallelOldGC;OPEN;philosopher;0.2962698714842864;7.0;0.72
1Concurent;OPEN;philosopher;0.14367208180696023;5.0;0.8
SerialGC;OPEN;philosopher;0.2962698714842864;18.0;0.28
5Concurent;OPEN;philosopher;0.8345316227109287;14.0;0.44
G1;OPEN;philosopher;0.14367208180696023;5.0;0.8
Epsilon;OPEN;philosopher;0.012185780355344813;0.0;1.0
1Parallel;OPEN;philosopher;0.2962698714842864;7.0;0.72
5Parallel;OPEN;reactors;0.47048642205878966;5.0;0.6875
DisableExplicitGC;OPEN;reactors;0.47048642205878966;5.0;0.6875
ParallelCG;OPEN;reactors;0.8852339144732015;9.0;0.4375
ParallelOldGC;OPEN;reactors;0.1939308522824107;3.0;0.8125
1Concurent;OPEN;reactors;0.6650055421020291;6.0;0.625
SerialGC;OPEN;reactors;0.06060196971200607;1.0;0.9375
5Concurent;OPEN;reactors;0.6650055421020291;10.0;0.375
G1;OPEN;reactors;0.06060196971200607;1.0;0.9375
Epsilon;OPEN;reactors;0.03038282197657749;16.0;0.0
1Parallel;OPEN;reactors;0.03038282197657749;0.0;1.0
5Parallel;OPEN;scrabble;0.47048642205878966;11.0;0.3125
DisableExplicitGC;OPEN;scrabble;0.06060196971200607;15.0;0.0625
ParallelCG;OPEN;scrabble;0.03038282197657749;0.0;1.0
ParallelOldGC;OPEN;scrabble;0.47048642205878966;11.0;0.3125
1Concurent;OPEN;scrabble;0.47048642205878966;11.0;0.3125
SerialGC;OPEN;scrabble;0.03038282197657749;0.0;1.0
5Concurent;OPEN;scrabble;0.03038282197657749;16.0;0.0
G1;OPEN;scrabble;0.06060196971200607;15.0;0.0625
Epsilon;OPEN;scrabble;0.03038282197657749;16.0;0.0
1Parallel;OPEN;scrabble;0.03038282197657749;0.0;1.0
