benchmark;jvm;options;iteration;exitcode;duration;DRAM;CPU
h2;15.0.1.j9-adpt; -Xjit:count=0;2;0;70762825;949408146;3315438534
h2;15.0.1.j9-adpt; -Xjit:count=1;2;0;53290293;722850198;2669074222
h2;15.0.1.j9-adpt; -Xjit:count=10;2;0;50729935;700557747;2845154337
h2;15.0.1.j9-adpt; -Xjit:count=100;2;0;47338083;649583272;2506470878
h2;15.0.1.j9-adpt; -Xjit:optlevel=cold;2;0;60677476;816537683;2883504459
h2;15.0.1.j9-adpt; -Xjit:optlevel=warm;2;0;50872588;693286606;2558720928
h2;15.0.1.j9-adpt; -Xjit:optlevel=hot;2;0;65006337;917596401;3989957377
h2;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;2;0;127515625;1732972386;7426840423
h2;15.0.1.j9-adpt; -Xjit:optlevel=scorching;2;0;132473630;1801738985;7775616752
h2;15.0.1-open;default;2;0;34060235;466662439;1813990533
h2;15.0.1-open; -XX:-TieredCompilation;2;0;38738141;522915107;1962378032
h2;15.0.1-open; -XX:TieredStopAtLevel=1;2;0;54827953;736830345;2599828183
h2;15.0.1-open; -XX:TieredStopAtLevel=4;2;0;34282003;458648283;1691722415
h2;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;2;0;32328842;438574684;1609187958
pmd;20.2.0.r11-grl;default;2;0;5181891;72872232;297593111
pmd;20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;5416081;83758641;352942944
pmd;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;5100442;66681714;267468675
pmd;15.0.1.j9-adpt;default;2;0;5131468;66026309;274784575
pmd;15.0.1.j9-adpt; -XcompilationThreads1;2;0;5723930;77824919;352193678
pmd;15.0.1.j9-adpt; -XcompilationThreads3;2;0;5337794;69206872;301477500
pmd;15.0.1.j9-adpt; -XcompilationThreads7;2;0;4997903;63676794;273640107
pmd;15.0.1.j9-adpt; -Xjit:count=0;2;0;15949877;206465789;732335101
pmd;15.0.1.j9-adpt; -Xjit:count=1;2;0;4572297;58081997;269985820
pmd;15.0.1.j9-adpt; -Xjit:count=10;2;0;4769129;61319860;295873388
pmd;15.0.1.j9-adpt; -Xjit:count=100;2;0;4706560;61524757;276269190
pmd;15.0.1.j9-adpt; -Xjit:optlevel=cold;2;0;5327489;67687552;276170864
pmd;15.0.1.j9-adpt; -Xjit:optlevel=warm;2;0;6197943;83717056;410978623
pmd;15.0.1.j9-adpt; -Xjit:optlevel=hot;2;0;11058462;159763396;860817498
pmd;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;2;0;12336920;164787502;817021834
pmd;15.0.1.j9-adpt; -Xjit:optlevel=scorching;2;0;12632132;170049157;833867312
pmd;15.0.1-open;default;2;0;5222160;77923267;325636495
pmd;15.0.1-open; -XX:-TieredCompilation;2;0;11659383;177920456;914693947
pmd;15.0.1-open; -XX:TieredStopAtLevel=1;2;0;4648446;57660789;222195597
pmd;15.0.1-open; -XX:TieredStopAtLevel=4;2;0;5201884;78327477;328334609
pmd;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;2;0;5097095;80301928;331634222
